R,C,A,N,Analise0_Media(us),Analise0_DevPad(us),Analise1_Media(us),Analise1_DevPad(us),Analise2_Media(us),Analise2_DevPad(us),Analise3_Media(us),Analise3_DevPad(us),Analise4_Media(us),Analise4_DevPad(us),Total_Media(us),Total_DevPad(us)
1,1,10,10,0.20,0.15,0.49,1.92,0.16,0.16,0.13,0.09,0.00,0.00,0.98,2.32
1,10,10,10,1.43,0.66,1.39,3.58,0.90,0.42,0.96,0.69,0.00,0.00,4.67,4.93
10,10,10,10,14.11,5.51,8.80,3.63,12.23,1.26,10.36,1.19,0.00,0.00,45.50,10.53
10,10,10,100,36.12,4.17,8.96,3.15,11.59,1.75,10.24,0.99,0.00,0.00,66.91,8.82
10,10,100,100,338.22,17.42,152.90,8.67,148.57,5.66,125.32,7.16,0.00,0.00,765.01,32.97
10,100,100,100,2852.92,137.20,997.72,11.48,904.84,6.72,839.15,23.06,0.00,0.00,5594.63,166.42
100,100,100,100,28791.99,985.48,9903.35,74.08,8912.37,96.62,8278.53,200.18,0.00,0.00,55886.23,1190.56
100,100,1000,100,280189.86,11793.30,92953.68,229.41,87357.30,243.29,97845.90,319.65,0.00,0.00,558346.73,11812.19
