R,C,A,N,Threads,Analise0_Media(us),Analise0_DevPad(us),Analise1_Media(us),Analise1_DevPad(us),Analise2_Media(us),Analise2_DevPad(us),Analise3_Media(us),Analise3_DevPad(us),Analise4_Media(us),Analise4_DevPad(us),Total_Media(us),Total_DevPad(us)
1,1,10,10,1,1.66,2.83,2.05,2.33,1.51,0.17,0.92,0.26,0.00,0.00,6.15,5.49
1,1,10,10,2,4.23,14.05,3.41,6.69,2.18,0.04,1.67,0.03,0.00,0.00,11.49,20.71
1,1,10,10,3,4.43,14.69,3.22,5.18,2.27,0.06,1.71,0.07,0.00,0.00,11.63,19.97
1,1,10,10,4,3.90,8.31,3.50,3.15,2.79,0.11,2.24,0.85,0.00,0.00,12.43,11.60
1,1,10,10,5,4.15,10.03,3.92,4.41,3.15,0.06,2.54,0.69,0.00,0.00,13.76,14.46
1,1,10,10,6,4.01,8.50,3.64,2.87,3.14,0.08,2.38,0.25,0.00,0.00,13.17,11.46
1,1,10,10,7,3.80,8.10,3.97,3.41,3.08,0.09,2.72,0.72,0.00,0.00,13.57,11.39
1,1,10,10,8,4.10,11.29,3.13,2.46,2.68,0.06,2.47,0.18,0.00,0.00,12.39,13.86
1,1,10,10,9,19.63,8.85,30.50,15.65,32.41,37.56,20.12,11.92,0.00,0.00,102.66,67.02
1,1,10,10,10,20.40,5.85,28.20,6.36,28.67,8.59,18.00,2.92,0.00,0.00,95.28,14.20
1,1,10,10,11,20.72,6.19,29.63,3.19,28.80,3.51,20.79,3.62,0.00,0.00,99.94,7.70
1,1,10,10,12,28.76,37.02,33.41,4.70,33.90,8.70,28.07,22.24,0.00,0.00,124.14,49.25
1,10,10,10,1,3.67,2.88,2.08,1.88,1.80,1.91,1.18,0.28,0.00,0.00,8.73,5.61
1,10,10,10,2,3.68,6.05,2.55,2.06,2.67,2.00,1.69,0.29,0.00,0.00,10.59,7.12
1,10,10,10,3,2.59,3.35,2.21,1.66,2.03,0.04,1.63,0.05,0.00,0.00,8.45,5.05
1,10,10,10,4,2.22,2.37,2.26,1.63,2.17,0.31,1.74,0.14,0.00,0.00,8.39,4.06
1,10,10,10,5,2.42,3.71,2.35,0.21,2.33,0.25,2.03,0.23,0.00,0.00,9.13,4.11
1,10,10,10,6,2.38,3.87,2.48,0.17,2.34,0.16,2.34,0.54,0.00,0.00,9.53,4.20
1,10,10,10,7,2.90,5.29,2.54,0.31,2.84,0.07,2.45,0.17,0.00,0.00,10.73,5.44
1,10,10,10,8,3.40,7.20,3.25,1.73,5.05,11.27,2.86,0.23,0.00,0.00,14.56,13.33
1,10,10,10,9,18.01,6.54,26.74,2.53,28.44,6.96,18.74,3.13,0.00,0.00,91.92,12.30
1,10,10,10,10,18.46,5.71,28.21,3.03,28.17,2.34,19.63,1.98,0.00,0.00,94.47,6.32
1,10,10,10,11,20.60,6.39,29.68,2.61,30.46,3.45,20.61,2.74,0.00,0.00,101.35,6.45
1,10,10,10,12,23.13,6.81,32.47,3.70,32.92,3.57,23.04,2.55,0.00,0.00,111.56,8.99
10,10,10,10,1,26.06,6.65,11.67,2.46,9.59,1.94,5.92,1.16,0.00,0.00,53.23,11.45
10,10,10,10,2,15.77,10.29,6.89,1.66,4.58,1.40,5.10,0.99,0.00,0.00,32.34,14.11
10,10,10,10,3,11.61,13.06,8.52,1.96,3.71,0.44,4.73,0.19,0.00,0.00,28.58,15.20
10,10,10,10,4,9.65,5.32,9.70,0.54,4.40,0.68,6.36,0.28,0.00,0.00,30.11,5.82
10,10,10,10,5,8.51,7.36,11.25,0.54,3.39,0.35,6.41,0.68,0.00,0.00,29.55,7.69
10,10,10,10,6,6.85,3.23,12.61,1.25,3.31,0.15,6.65,0.18,0.00,0.00,29.41,4.50
10,10,10,10,7,7.02,6.74,13.82,0.56,3.47,0.15,6.90,0.67,0.00,0.00,31.22,7.52
10,10,10,10,8,6.53,7.50,14.01,0.67,3.52,0.66,6.69,0.21,0.00,0.00,30.74,8.31
10,10,10,10,9,23.52,5.75,34.46,3.38,29.21,5.45,24.98,2.45,0.00,0.00,112.18,12.62
10,10,10,10,10,23.56,5.79,34.72,5.32,31.12,10.62,26.09,2.33,0.00,0.00,115.49,12.85
10,10,10,10,11,27.14,10.27,34.30,3.46,33.51,3.36,28.67,2.91,0.00,0.00,123.62,11.38
10,10,10,10,12,27.27,7.72,35.87,4.13,33.46,3.44,31.50,4.89,0.00,0.00,128.09,7.80
10,10,10,100,1,37.31,7.74,11.33,1.30,8.47,0.66,6.01,1.08,0.00,0.00,63.12,10.06
10,10,10,100,2,22.71,16.69,6.87,1.27,4.40,1.76,5.73,0.68,0.00,0.00,39.72,19.07
10,10,10,100,3,14.90,9.79,8.38,0.59,3.35,0.34,5.07,0.14,0.00,0.00,31.71,10.59
