R,C,A,N,Analise0_Media(us),Analise0_DevPad(us),Analise1_Media(us),Analise1_DevPad(us),Analise2_Media(us),Analise2_DevPad(us),Analise3_Media(us),Analise3_DevPad(us),Analise4_Media(us),Analise4_DevPad(us),Total_Media(us),Total_DevPad(us)
1,1,10,10,0.22,0.17,0.20,0.28,0.46,1.69,0.14,0.11,0.00,0.00,1.01,1.90
1,10,10,10,1.62,2.00,0.75,0.42,0.86,0.39,0.78,0.38,0.00,0.00,4.01,3.08
10,10,10,10,13.43,4.14,8.47,3.16,11.81,1.16,10.65,3.84,0.00,0.00,44.36,9.41
10,10,10,100,36.73,4.80,8.66,3.17,11.08,1.07,9.96,0.80,0.00,0.00,66.42,8.57
10,10,100,100,334.02,16.18,149.41,5.26,148.88,9.02,123.88,6.75,0.00,0.00,756.19,30.33
10,100,100,100,2868.98,136.05,998.75,14.56,908.87,21.47,846.68,26.65,0.00,0.00,5623.28,161.61
100,100,100,100,28519.88,1002.34,9894.78,38.06,8893.20,41.83,8306.08,169.99,0.00,0.00,55613.94,1174.99
100,100,1000,100,279414.22,12138.39,92911.71,190.43,87414.70,270.15,97865.63,324.64,0.00,0.00,557606.26,12276.06
