R,C,A,N,Threads,Analise0_Media(us),Analise0_DevPad(us),Analise1_Media(us),Analise1_DevPad(us),Analise2_Media(us),Analise2_DevPad(us),Analise3_Media(us),Analise3_DevPad(us),Analise4_Media(us),Analise4_DevPad(us),Total_Media(us),Total_DevPad(us)
1,1,10,10,1,2.23,4.79,1.87,0.65,1.77,0.19,1.09,0.31,0.00,0.00,6.96,5.94
1,1,10,10,2,5.03,16.78,3.96,7.60,2.57,0.05,1.95,0.05,0.00,0.00,13.51,24.34
1,1,10,10,3,4.52,13.52,3.88,6.36,2.69,0.09,2.06,0.07,0.00,0.00,13.14,19.99
1,1,10,10,4,3.95,8.50,3.79,2.62,3.28,0.15,2.48,0.07,0.00,0.00,13.49,11.32
1,1,10,10,5,4.69,11.21,4.86,6.76,3.65,0.06,2.92,0.16,0.00,0.00,16.12,17.96
1,1,10,10,6,4.51,9.88,4.31,3.75,3.63,0.08,2.72,0.28,0.00,0.00,15.18,13.73
1,1,10,10,7,4.39,9.06,4.06,2.47,3.71,0.65,3.05,0.26,0.00,0.00,15.20,12.23
1,1,10,10,8,4.72,14.62,3.22,2.69,2.74,0.05,2.69,0.98,0.00,0.00,13.36,17.36
1,1,10,10,9,18.69,8.11,31.11,29.50,29.11,14.66,17.78,3.26,0.00,0.00,96.71,53.89
1,1,10,10,10,19.46,6.27,31.47,17.04,27.76,3.33,19.16,2.83,0.00,0.00,97.85,20.51
1,1,10,10,11,20.59,7.41,30.59,2.95,29.08,2.83,20.53,2.67,0.00,0.00,100.79,8.27
1,1,10,10,12,22.20,5.98,32.78,4.41,30.42,3.67,21.84,2.52,0.00,0.00,107.24,8.34
1,10,10,10,1,3.95,4.23,2.04,2.03,1.50,0.36,1.16,0.27,0.00,0.00,8.65,6.78
1,10,10,10,2,4.30,8.79,2.34,0.53,2.21,0.54,1.88,0.56,0.00,0.00,10.72,9.27
1,10,10,10,3,2.78,4.74,2.25,1.66,2.03,0.05,1.62,0.04,0.00,0.00,8.67,6.44
1,10,10,10,4,2.44,2.38,2.23,0.08,2.59,0.07,2.53,2.40,0.00,0.00,9.80,3.37
1,10,10,10,5,2.87,4.76,2.58,1.59,2.77,0.08,2.28,0.14,0.00,0.00,10.51,6.41
1,10,10,10,6,2.53,2.98,2.46,0.25,2.88,0.08,2.41,0.16,0.00,0.00,10.28,3.02
1,10,10,10,7,3.07,6.88,2.70,0.23,2.86,0.29,2.47,0.22,0.00,0.00,11.10,6.98
1,10,10,10,8,3.13,6.63,2.97,0.42,2.95,0.07,2.82,0.19,0.00,0.00,11.88,6.70
1,10,10,10,9,17.50,5.30,26.33,2.15,26.73,2.91,18.20,1.70,0.00,0.00,88.75,7.68
1,10,10,10,10,18.62,6.30,28.32,2.56,26.71,2.42,19.86,2.53,0.00,0.00,93.52,7.02
1,10,10,10,11,20.65,7.16,29.71,2.86,30.39,3.13,20.16,3.26,0.00,0.00,100.91,7.25
1,10,10,10,12,21.34,5.95,32.68,3.78,32.00,2.90,22.26,3.50,0.00,0.00,108.29,7.81
10,10,10,10,1,25.32,3.59,11.35,1.82,9.71,2.06,6.37,3.23,0.00,0.00,52.75,8.73
10,10,10,10,2,15.32,10.42,7.56,3.41,4.64,1.34,5.07,1.00,0.00,0.00,32.58,15.53
10,10,10,10,3,11.56,13.00,8.89,2.44,3.84,0.75,5.79,1.59,0.00,0.00,30.09,13.53
10,10,10,10,4,8.76,7.19,10.19,1.40,3.63,0.59,5.42,0.46,0.00,0.00,27.99,8.01
10,10,10,10,5,7.54,4.39,11.37,0.43,3.25,0.37,8.21,2.10,0.00,0.00,30.37,4.79
10,10,10,10,6,6.60,3.94,12.51,0.55,3.11,0.29,7.54,1.82,0.00,0.00,29.76,5.22
10,10,10,10,7,6.74,6.62,13.57,0.73,3.32,0.44,6.05,0.58,0.00,0.00,29.68,6.73
10,10,10,10,8,14.12,48.78,14.53,1.95,3.45,0.35,7.10,0.53,0.00,0.00,39.21,51.23
10,10,10,10,9,24.10,8.62,33.99,3.84,30.39,12.41,26.00,2.51,0.00,0.00,114.47,23.40
10,10,10,10,10,23.30,6.22,34.18,2.50,29.82,2.49,26.66,3.13,0.00,0.00,113.96,7.46
10,10,10,10,11,26.32,6.17,37.98,14.29,43.71,34.92,33.14,16.58,0.00,0.00,141.16,50.58
10,10,10,10,12,26.72,6.36,35.72,3.06,34.46,3.46,28.94,4.15,0.00,0.00,125.83,7.27
10,10,10,100,1,37.45,7.69,11.50,1.34,8.68,0.62,6.07,1.12,0.00,0.00,63.69,10.07
10,10,10,100,2,22.67,16.02,7.78,2.30,5.90,1.62,6.08,2.88,0.00,0.00,42.42,20.95
10,10,10,100,3,15.46,10.16,8.12,0.33,3.31,0.29,5.40,1.31,0.00,0.00,32.29,10.74
10,10,10,100,4,14.81,4.73,9.52,0.58,4.17,0.18,7.10,1.84,0.00,0.00,35.60,6.78
10,10,10,100,5,13.31,8.23,11.83,0.67,3.62,0.55,7.13,0.41,0.00,0.00,35.87,8.34
10,10,10,100,6,10.81,3.71,12.72,0.55,3.47,0.10,7.07,0.21,0.00,0.00,34.07,3.89
10,10,10,100,7,10.10,6.04,13.64,0.66,3.55,0.17,7.65,2.45,0.00,0.00,34.94,6.75
10,10,10,100,8,9.58,8.61,14.17,0.70,3.69,0.24,7.64,0.23,0.00,0.00,35.08,8.84
10,10,10,100,9,29.26,10.17,34.65,3.81,29.73,3.69,25.10,2.55,0.00,0.00,118.74,12.86
10,10,10,100,10,27.45,6.01,35.33,4.44,29.91,2.92,25.98,2.22,0.00,0.00,118.67,7.43
10,10,10,100,11,35.38,20.44,34.87,4.22,33.00,6.09,28.01,2.79,0.00,0.00,131.26,28.66
10,10,10,100,12,31.33,6.04,36.79,3.30,34.07,3.95,31.14,10.96,0.00,0.00,133.32,16.84
10,10,100,100,1,351.56,8.01,102.25,7.96,97.31,6.78,88.62,2.36,0.00,0.00,639.75,15.51
10,10,100,100,2,187.54,33.74,53.19,3.92,52.05,1.78,87.47,4.44,0.00,0.00,380.25,34.81
10,10,100,100,3,123.00,12.54,35.85,0.27,40.38,0.28,87.00,6.72,0.00,0.00,286.24,14.23
10,10,100,100,4,130.78,10.72,35.75,0.39,38.61,0.30,105.81,6.32,0.00,0.00,310.95,11.67
10,10,100,100,5,106.46,8.77,29.98,0.26,27.27,0.56,105.65,0.43,0.00,0.00,269.35,8.97
10,10,100,100,6,88.53,4.54,26.19,0.29,27.36,0.36,106.51,0.90,0.00,0.00,248.59,4.64
10,10,100,100,7,76.61,7.94,23.11,0.22,31.46,1.86,105.73,2.57,0.00,0.00,236.91,9.20
10,10,100,100,8,68.08,10.67,20.39,0.19,31.78,4.25,105.39,1.08,0.00,0.00,225.65,11.44
10,10,100,100,9,116.52,7.54,58.11,20.84,58.10,15.19,104.69,4.28,0.00,0.00,337.42,45.40
10,10,100,100,10,111.87,9.84,54.61,2.73,54.63,4.92,105.74,4.35,0.00,0.00,326.86,12.43
10,10,100,100,11,132.53,98.72,58.49,5.23,56.98,3.76,106.82,2.36,0.00,0.00,354.81,98.53
10,10,100,100,12,115.90,18.15,59.12,5.85,65.00,35.24,111.70,9.50,0.00,0.00,351.72,49.25
10,100,100,100,1,3736.23,119.77,1031.99,28.35,916.23,14.64,910.09,22.11,0.00,0.00,6594.54,145.20
10,100,100,100,2,2026.66,59.36,526.34,18.64,485.25,10.52,861.84,24.84,0.00,0.00,3900.09,65.46
10,100,100,100,3,1891.70,56.94,361.80,7.23,361.61,9.06,883.61,24.77,0.00,0.00,3498.72,58.18
10,100,100,100,4,2021.18,34.78,366.81,18.90,358.22,18.35,1063.67,36.96,0.00,0.00,3809.89,91.57
10,100,100,100,5,1953.43,14.05,299.89,2.47,314.72,4.23,1078.55,5.61,0.00,0.00,3646.60,15.00
10,100,100,100,6,1871.81,26.09,252.25,3.04,232.47,10.86,1061.59,6.06,0.00,0.00,3418.12,32.32
10,100,100,100,7,1873.01,45.63,219.34,5.39,291.43,2.64,1070.00,6.55,0.00,0.00,3453.77,44.06
10,100,100,100,8,2002.13,537.57,300.35,555.54,451.87,788.75,1115.83,266.18,0.00,0.00,3870.18,2138.57
10,100,100,100,9,2148.95,39.73,406.28,41.36,376.31,52.09,955.26,26.98,0.00,0.00,3886.81,94.35
10,100,100,100,10,2017.51,81.68,383.90,52.13,365.20,51.04,966.12,34.15,0.00,0.00,3732.73,151.73
10,100,100,100,11,2006.81,91.26,377.60,65.07,384.94,52.16,964.45,46.94,0.00,0.00,3733.79,174.21
10,100,100,100,12,2006.11,92.12,366.60,69.43,380.66,59.04,970.73,41.80,0.00,0.00,3724.11,200.92
100,100,100,100,1,37367.05,1006.21,10206.62,86.29,8932.62,47.53,8804.70,214.51,0.00,0.00,65310.99,1202.52
100,100,100,100,2,21354.70,2067.26,5358.28,532.87,4727.43,539.33,8319.12,213.98,0.00,0.00,39759.54,3191.77
100,100,100,100,3,19311.25,358.37,3597.08,50.73,3101.23,126.33,8117.56,172.61,0.00,0.00,34127.12,439.82
100,100,100,100,4,18835.59,711.37,2904.82,313.18,2567.38,341.70,8094.55,78.76,0.00,0.00,32402.34,1406.58
100,100,100,100,5,19561.95,188.08,2948.73,7.75,2670.35,7.26,8291.45,79.56,0.00,0.00,33472.47,207.92
100,100,100,100,6,18673.41,136.83,2465.78,13.92,2267.31,20.29,8234.70,217.70,0.00,0.00,31641.20,323.01
100,100,100,100,7,18594.94,154.03,2154.96,13.12,1978.52,36.94,8295.19,83.43,0.00,0.00,31023.61,173.84
100,100,100,100,8,18667.43,352.84,2244.07,1107.54,1831.71,149.46,8308.20,80.21,0.00,0.00,31051.41,1512.44
100,100,100,100,9,19815.82,581.03,2938.33,45.73,2546.89,77.91,8259.05,81.42,0.00,0.00,33560.07,601.90
100,100,100,100,10,19160.14,327.14,2657.46,39.17,2430.79,135.71,8244.47,124.64,0.00,0.00,32492.86,357.11
100,100,100,100,11,18852.69,261.65,2526.93,141.75,2306.54,147.34,8275.47,228.39,0.00,0.00,31961.63,440.16
100,100,100,100,12,18939.81,331.98,2517.78,152.88,2242.08,110.24,8226.07,97.66,0.00,0.00,31925.73,384.86
100,100,1000,100,1,370658.90,11822.69,94367.08,399.75,87740.06,398.65,105013.71,539.97,0.00,0.00,657779.75,11876.93
100,100,1000,100,2,202038.80,5780.23,47907.60,741.05,45515.44,754.52,95765.44,1049.94,0.00,0.00,391227.29,6316.62
100,100,1000,100,3,185081.49,1009.68,32675.11,226.09,31775.97,175.26,92445.67,907.12,0.00,0.00,341978.24,1623.25
100,100,1000,100,4,181635.39,1516.21,25506.65,1299.87,25043.42,1307.11,90631.71,716.87,0.00,0.00,322817.16,3319.49
100,100,1000,100,5,193162.41,312.29,26875.35,53.67,26224.02,42.88,92428.60,943.11,0.00,0.00,338690.37,939.94
100,100,1000,100,6,184491.51,480.27,22438.76,66.83,23428.15,381.47,90919.98,232.55,0.00,0.00,321278.41,690.36
100,100,1000,100,7,183991.30,474.87,19726.14,486.24,20811.58,343.65,90276.95,324.40,0.00,0.00,314805.97,975.11
