R,C,A,N,Analise0_Media(us),Analise0_DevPad(us),Analise1_Media(us),Analise1_DevPad(us),Analise2_Media(us),Analise2_DevPad(us),Analise3_Media(us),Analise3_DevPad(us),Analise4_Media(us),Analise4_DevPad(us),Total_Media(us),Total_DevPad(us)
1,1,10,10,0.24,0.17,0.52,1.92,0.17,0.12,0.16,0.09,0.00,0.00,1.08,2.30
1,10,10,10,1.98,0.91,1.92,5.10,1.19,0.58,1.10,0.52,0.00,0.00,6.20,6.96
10,10,10,10,18.32,4.09,12.17,4.55,16.84,1.83,14.36,1.53,0.00,0.00,61.69,11.03
10,10,10,100,50.16,4.83,12.38,4.63,15.80,1.42,14.28,1.34,0.00,0.00,92.63,11.21
10,10,100,100,401.28,50.38,177.64,20.90,174.10,19.34,146.80,17.87,0.00,0.00,899.82,105.38
10,100,100,100,2902.32,120.89,1002.20,15.17,907.32,28.51,844.82,25.00,0.00,0.00,5656.65,146.10
100,100,100,100,28580.81,985.38,9893.37,69.02,8905.22,96.35,8217.23,152.48,0.00,0.00,55596.63,1143.70
100,100,1000,100,281140.87,12046.27,92897.00,151.67,87441.03,293.81,97741.85,306.91,0.00,0.00,559220.74,12247.08
