R,C,A,N,Analise0_Media(us),Analise0_DevPad(us),Analise1_Media(us),Analise1_DevPad(us),Analise2_Media(us),Analise2_DevPad(us),Analise3_Media(us),Analise3_DevPad(us),Analise4_Media(us),Analise4_DevPad(us),Total_Media(us),Total_DevPad(us)
1,1,10,10,0.88,1.46,0.62,0.40,0.52,0.15,0.45,0.31,4.06,1.21,6.54,3.37
1,10,10,10,1.18,0.19,1.03,0.35,1.08,0.37,0.91,0.28,3.76,0.28,7.96,1.24
10,10,10,10,8.67,0.20,9.49,1.40,9.53,0.45,9.30,1.81,3.70,0.74,40.68,3.23
10,10,10,100,24.81,1.60,9.53,1.31,9.29,0.54,8.42,0.45,4.12,0.40,56.17,3.34
10,10,100,100,278.70,27.07,100.82,13.71,99.04,11.41,85.75,13.04,4.26,0.50,568.57,24.70
10,100,100,100,3670.29,424.91,1058.15,52.64,1010.63,92.47,935.01,89.42,10.86,6.33,6684.93,618.72
100,100,100,100,37145.58,1043.07,10953.32,340.19,10093.20,105.26,9827.93,561.59,36.95,6.17,68056.98,1429.66
100,100,1000,100,370293.13,9870.69,117545.21,889.45,108643.82,257.67,122784.04,1227.96,36.79,3.80,719302.99,10945.18
